gamePk,homeTeamId,awayTeamId,atBatIndex,pitchNumber,playId,inning,inningHalf,batterId,pitcherId,catcherId,homePlateUmpireId,prePitchBalls,prePitchStrikes,prePlayHomeScore,prePlayAwayScore,runnerOn1st,runnerOn2nd,runnerOn3rd,outs,pitchCall,pitchDescription,gameDate,pitchType,pitchTypeId,startSpeed,plateTimeX,plateTimeY,szTop,szBottom,szTopRule,szBottomRule,homeChallengesLeft,awayChallengesLeft,hasABSChallenge,challengeReason,challengeResult,isOverturned,challengePlayerId,challengePlayerPosition,calculatedZoneResult,distanceFromZoneEdge
823833,146,134,47,3,54d085e2-4b9e-30ab-a004-dd58c127c3b3,5,1,669364,669199,680779,427537,2,0,6,2,0,0,0,2,C,Called Strike,22:33.3,SL,13,89.4,-0.735933162,2.604405829,3.055,1.542,3.055,1.542,1,1,0,,,0,,,Strike,0
823833,146,134,49,1,0bd8bffa-c18e-36bd-9ce9-d76c0dc6af7c,6,0,687462,676083,691788,427537,0,0,6,2,0,0,0,1,C,Called Strike,27:57.6,CU,3,81.2,0.075915297,1.707128336,3.133,1.581,3.133,1.581,1,1,0,,,0,,,Strike,0
823833,146,134,50,3,5f6e50aa-95a4-377c-aa66-006afff1e419,6,0,693304,676083,691788,427537,1,1,6,2,0,0,0,2,C,Called Strike,30:11.8,SL,13,85.6,-0.243479127,3.353803213,3.051,1.54,3.051,1.54,1,1,0,,,0,,,Ball,0.182003213
823833,146,134,54,1,2f12a781-4ce4-3982-82b0-4fea14df39bb,6,1,805300,669199,680779,427537,0,0,8,2,0,0,0,1,C,Called Strike,36:36.7,SL,13,88.8,-0.150533757,1.751125461,3.212,1.621,3.212,1.621,1,1,0,,,0,,,Strike,0
823833,146,134,54,3,60028ade-dd28-3855-ba98-8d1f97599ea0,6,1,805300,669199,680779,427537,1,1,8,2,0,0,0,1,C,Called Strike,37:11.1,SL,13,89.8,-0.463074005,2.693211605,3.212,1.621,3.212,1.621,1,1,0,,,0,,,Strike,0
823833,146,134,56,1,89c83d99-ab2a-300d-bcb7-0d58246fe5a6,7,0,682927,676604,691788,427537,0,0,8,2,0,0,0,0,C,Called Strike,41:04.5,SI,12,93.8,-0.293264019,3.512993932,3.01,1.519,3.01,1.519,1,1,0,,,0,,,Ball,0.382193932
823833,146,134,57,1,b303b12a-adb9-3779-98e4-a25ef35fae83,7,0,699013,676604,691788,427537,0,0,8,2,1,0,0,0,C,Called Strike,43:03.0,FF,7,96.2,0.129370827,2.294362755,3.311,1.671,3.311,1.671,1,1,0,,,0,,,Strike,0
823833,146,134,57,2,9f3e4c3c-9984-3a48-bd79-d5386fae2a4f,7,0,699013,676604,691788,427537,0,1,8,2,1,0,0,0,C,Called Strike,43:21.9,FF,7,96.8,0.514106403,2.785145802,3.311,1.671,3.311,1.671,1,1,0,,,0,,,Strike,0
823833,146,134,58,1,69a9d436-11a2-3342-ae28-1bad5e5dca17,7,0,694378,676604,691788,427537,0,0,8,2,0,0,0,2,C,Called Strike,44:56.4,SI,12,94.9,0.368812178,2.390529185,3.286,1.658,3.286,1.658,1,1,0,,,0,,,Strike,0
823833,146,134,60,1,4403d7bd-7978-367d-a177-be5e391ea856,7,1,677870,489446,680779,427537,0,0,8,2,0,0,0,0,C,Called Strike,51:14.6,FF,7,90.9,-0.414676494,2.726885839,3.118,1.574,3.118,1.574,1,1,0,,,0,,,Strike,0
