catcherId,lastName,firstName,Total_Opp_Ovr,Total_ChallengesMade,Total_ChallengeRate,Total_ChallengesOverturned,Total_OverturnedRate,Home_Opp,Home_Made,Home_Rate,Home_Over,Home_OvrRate,Away_Opp,Away_Made,Away_Rate,Away_Over,Away_OvrRate,Team2Left_Opp,Team2Left_Made,Team2Left_Rate,Team2Left_Over,Team2Left_OvrRate,Team1Left_Opp,Team1Left_Made,Team1Left_Rate,Team1Left_Over,Team1Left_OvrRate,Inn1_3_Ovr_Opp,Inn1_3_Ovr_Made,Inn1_3_Ovr_Rate,Inn1_3_Ovr_Over,Inn1_3_Ovr_OvrRate,Inn1_3_Chg2_Opp,Inn1_3_Chg2_Made,Inn1_3_Chg2_Rate,Inn1_3_Chg2_Over,Inn1_3_Chg2_OvrRate,Inn1_3_Chg1_Opp,Inn1_3_Chg1_Made,Inn1_3_Chg1_Rate,Inn1_3_Chg1_Over,Inn1_3_Chg1_OvrRate,Inn4_6_Ovr_Opp,Inn4_6_Ovr_Made,Inn4_6_Ovr_Rate,Inn4_6_Ovr_Over,Inn4_6_Ovr_OvrRate,Inn4_6_Chg2_Opp,Inn4_6_Chg2_Made,Inn4_6_Chg2_Rate,Inn4_6_Chg2_Over,Inn4_6_Chg2_OvrRate,Inn4_6_Chg1_Opp,Inn4_6_Chg1_Made,Inn4_6_Chg1_Rate,Inn4_6_Chg1_Over,Inn4_6_Chg1_OvrRate,Inn7_9_Ovr_Opp,Inn7_9_Ovr_Made,Inn7_9_Ovr_Rate,Inn7_9_Ovr_Over,Inn7_9_Ovr_OvrRate,Inn7_9_Chg2_Opp,Inn7_9_Chg2_Made,Inn7_9_Chg2_Rate,Inn7_9_Chg2_Over,Inn7_9_Chg2_OvrRate,Inn7_9_Chg1_Opp,Inn7_9_Chg1_Made,Inn7_9_Chg1_Rate,Inn7_9_Chg1_Over,Inn7_9_Chg1_OvrRate,Inn10_Ovr_Opp,Inn10_Ovr_Made,Inn10_Ovr_Rate,Inn10_Ovr_Over,Inn10_Ovr_OvrRate,Inn10_Chg2_Opp,Inn10_Chg2_Made,Inn10_Chg2_Rate,Inn10_Chg2_Over,Inn10_Chg2_OvrRate,Inn10_Chg1_Opp,Inn10_Chg1_Made,Inn10_Chg1_Rate,Inn10_Chg1_Over,Inn10_Chg1_OvrRate,FastBall_Opp,FastBall_Made,FastBall_Rate,FastBall_Over,FastBall_OvrRate,BreakBall_Opp,BreakBall_Made,BreakBall_Rate,BreakBall_Over,BreakBall_OvrRate,OtherPitch_Opp,OtherPitch_Made,OtherPitch_Rate,OtherPitch_Over,OtherPitch_OvrRate
506702,León,Sandy,773,21,0.027166882,16,0.761904762,322,4,0.01242236,2,0.5,451,17,0.037694013,14,0.823529412,373,6,0.016085791,4,0.666666667,378,13,0.034391534,10,0.769230769,318,7,0.022012579,3,0.428571429,228,2,0.00877193,0,0,90,5,0.055555556,3,0.6,273,4,0.014652015,3,0.75,109,2,0.018348624,2,1,164,2,0.012195122,1,0.5,180,10,0.055555556,10,1,36,2,0.055555556,2,1,122,6,0.049180328,6,1,2,0,0,0,,0,0,,0,,2,0,0,0,,427,10,0.023419204,9,0.9,212,4,0.018867925,2,0.5,134,7,0.052238806,5,0.714285714
518595,d'Arnaud,Travis,1017,14,0.013765978,10,0.714285714,453,9,0.01986755,7,0.777777778,564,5,0.008865248,3,0.6,590,9,0.015254237,6,0.666666667,324,4,0.012345679,3,0.75,422,6,0.014218009,5,0.833333333,306,3,0.009803922,2,0.666666667,103,3,0.029126214,3,1,332,5,0.015060241,3,0.6,191,4,0.020942408,3,0.75,116,1,0.00862069,0,0,253,3,0.011857708,2,0.666666667,93,2,0.021505376,1,0.5,95,0,0,0,,10,0,0,0,,0,0,,0,,10,0,0,0,,478,9,0.018828452,6,0.666666667,325,3,0.009230769,2,0.666666667,214,2,0.009345794,2,1
521692,Perez,Salvador,2220,65,0.029279279,46,0.707692308,1239,38,0.030669895,28,0.736842105,981,27,0.027522936,18,0.666666667,1366,41,0.030014641,33,0.804878049,695,20,0.028776978,11,0.55,818,17,0.020782396,15,0.882352941,705,16,0.022695035,14,0.875,103,1,0.009708738,1,1,735,28,0.038095238,22,0.785714286,463,20,0.043196544,16,0.8,217,8,0.036866359,6,0.75,641,20,0.031201248,9,0.45,198,5,0.025252525,3,0.6,350,11,0.031428571,4,0.363636364,26,0,0,0,,0,0,,0,,25,0,0,0,,1209,38,0.031430935,24,0.631578947,643,16,0.024883359,13,0.8125,368,11,0.029891304,9,0.818181818
543309,Higashioka,Kyle,2057,43,0.020904229,30,0.697674419,1039,27,0.025986526,20,0.740740741,1018,16,0.015717092,10,0.625,1481,29,0.019581364,20,0.689655172,451,10,0.022172949,8,0.8,753,13,0.017264276,11,0.846153846,689,11,0.015965167,9,0.818181818,64,2,0.03125,2,1,723,17,0.02351314,14,0.823529412,495,12,0.024242424,9,0.75,184,4,0.02173913,4,1,581,13,0.022375215,5,0.384615385,297,6,0.02020202,2,0.333333333,203,4,0.019704433,2,0.5,0,0,,0,,0,0,,0,,0,0,,0,,1074,26,0.024208566,15,0.576923077,523,9,0.017208413,7,0.777777778,460,8,0.017391304,8,1
543510,McCann,James,1684,57,0.033847981,34,0.596491228,877,30,0.034207526,18,0.6,807,27,0.033457249,16,0.592592593,981,25,0.0254842,16,0.64,592,24,0.040540541,12,0.5,575,15,0.026086957,10,0.666666667,448,11,0.024553571,8,0.727272727,117,3,0.025641026,1,0.333333333,638,25,0.039184953,17,0.68,354,10,0.028248588,7,0.7,233,11,0.0472103,7,0.636363636,455,17,0.037362637,7,0.411764706,179,4,0.022346369,1,0.25,228,10,0.043859649,4,0.4,16,0,0,0,,0,0,,0,,14,0,0,0,,890,41,0.046067416,24,0.585365854,427,11,0.025761124,8,0.727272727,367,5,0.013623978,2,0.4
543877,Vázquez,Christian,3519,80,0.022733731,42,0.525,1638,37,0.022588523,18,0.486486486,1881,43,0.022860181,24,0.558139535,2394,52,0.021720969,30,0.576923077,895,20,0.022346369,7,0.35,1393,30,0.021536253,19,0.633333333,1187,25,0.0210615,17,0.68,201,5,0.024875622,2,0.4,1242,27,0.02173913,13,0.481481481,830,16,0.019277108,8,0.5,323,8,0.024767802,4,0.5,864,23,0.02662037,10,0.434782609,377,11,0.029177719,5,0.454545455,351,7,0.01994302,1,0.142857143,20,0,0,0,,0,0,,0,,20,0,0,0,,1639,50,0.030506406,26,0.52,1333,25,0.018754689,13,0.52,547,5,0.009140768,3,0.6
553869,Díaz,Elias,2489,54,0.02169546,31,0.574074074,1099,26,0.023657871,17,0.653846154,1390,28,0.020143885,14,0.5,1684,36,0.021377672,21,0.583333333,676,14,0.020710059,8,0.571428571,945,23,0.024338624,12,0.52173913,850,22,0.025882353,12,0.545454545,95,1,0.010526316,0,0,827,17,0.020556227,11,0.647058824,553,5,0.009041591,4,0.8,225,8,0.035555556,5,0.625,675,13,0.019259259,8,0.615384615,271,9,0.033210332,5,0.555555556,327,4,0.012232416,3,0.75,42,1,0.023809524,0,0,10,0,0,0,0,29,1,0.034482759,0,0,1293,27,0.020881671,17,0.62962963,755,19,0.025165563,8,0.421052632,441,8,0.01814059,6,0.75
571912,Maile,Luke,579,3,0.005181347,0,0,266,0,0,0,,313,3,0.009584665,0,0,390,1,0.002564103,0,0,109,2,0.018348624,0,0,225,0,0,0,,215,0,0,0,,10,0,0,0,,205,1,0.004878049,0,0,120,0,0,0,,65,1,0.015384615,0,0,149,2,0.013422819,0,0,55,1,0.018181818,0,0,34,1,0.029411765,0,0,0,0,,0,,0,0,,0,,0,0,,0,,323,2,0.00619195,0,0,177,1,0.005649718,0,0,79,0,0,0,
592663,Realmuto,Jacob,4848,61,0.012582508,48,0.786885246,2215,28,0.012641084,22,0.785714286,2633,33,0.012533232,26,0.787878788,2948,37,0.012550882,31,0.837837838,1448,18,0.012430939,15,0.833333333,1651,21,0.012719564,19,0.904761905,1442,20,0.013869626,18,0.9,209,1,0.004784689,1,1,1669,19,0.011384062,10,0.526315789,951,7,0.007360673,4,0.571428571,617,7,0.011345219,4,0.571428571,1453,19,0.013076394,17,0.894736842,551,10,0.01814882,9,0.9,556,8,0.014388489,8,1,75,2,0.026666667,2,1,4,0,0,0,0,66,2,0.03030303,2,1,2344,44,0.018771331,33,0.75,1527,12,0.007858546,10,0.833333333,977,5,0.005117707,5,1
595978,Hedges,Austin,2740,62,0.022627737,31,0.5,1298,30,0.023112481,14,0.466666667,1442,32,0.022191401,17,0.53125,1832,37,0.020196507,20,0.540540541,632,17,0.026898734,8,0.470588235,999,17,0.017017017,9,0.529411765,897,16,0.017837235,9,0.5625,94,0,0,0,,991,19,0.019172553,9,0.473684211,670,11,0.01641791,5,0.454545455,255,8,0.031372549,4,0.5,746,26,0.034852547,13,0.5,265,10,0.037735849,6,0.6,283,9,0.03180212,4,0.444444444,4,0,0,0,,0,0,,0,,0,0,,0,,1467,49,0.0334015,30,0.612244898,833,9,0.010804322,1,0.111111111,440,4,0.009090909,0,0
