id,firstName,lastName,primaryNumber,birthDate,height,weight,batSide,pitchHand
671096,Andrew,Abbott,41,6/1/1999,"6' 0""",192,L,L
690953,McLean,Abel,20,8/18/2001,"6' 5""",190,R,R
691769,Philip,Abner,,5/5/2002,"6' 1""",230,L,L
682928,Paul,Abrams,5,10/3/2000,"6' 0""",191,L,R
650556,Bryan,Abreu,52,4/22/1997,"6' 1""",230,R,R
677800,Wilyer,Abreu,52,6/24/1999,"5' 10""",215,L,L
670183,Garrett,Acton,50,6/15/1998,"6' 2""",215,L,R
682668,Luisangel,Acuña,0,3/12/2002,"5' 7""",181,R,R
660670,Ronald,Acuña,13,12/18/1997,"6' 0""",205,R,R
592094,Jason,Adam,40,8/4/1991,"6' 3""",229,R,R
642715,Willy,Adames,2,9/2/1995,"6' 0""",216,R,R
687060,Blake,Adams,57,9/11/2000,"6' 2""",215,R,R
690279,Mason,Adams,38,2/23/2000,"6' 1""",190,R,R
701519,Travis,Adams,45,1/19/2000,"6' 1""",197,R,R
666176,Jordon,Adell,7,4/8/1999,"6' 2""",215,R,R
688642,Zachary,Agnos,36,8/15/2000,"6' 0""",225,R,R
695239,Robert,Ahlstrom,54,6/18/1999,"6' 3""",195,L,L
669211,Keegan,Akin,45,4/1/1995,"6' 0""",235,L,L
645277,Ozhaino,Albies,1,1/7/1997,"5' 7""",165,S,R
682634,Kevin,Alcantara,13,7/12/2002,"6' 6""",188,R,R
645261,Sandy,Alcantara,22,9/7/1995,"6' 5""",200,R,R
691951,Samuel,Aldegheri,61,9/19/2001,"6' 1""",210,L,L
680916,Franco,Aleman,55,6/26/2000,"6' 6""",235,R,R
677942,Blaze,Alexander,23,6/11/1999,"5' 11""",200,R,R
669920,Jason,Alexander,54,3/1/1993,"6' 2""",227,R,R
641302,Tyler,Alexander,13,7/14/1994,"6' 1""",214,R,L
672613,Eliezer,Alfonzo,64,9/23/1999,"5' 10""",155,S,R
663465,Kolby,Allard,,8/13/1997,"6' 1""",195,L,L
671106,Logan,Allen,26,9/5/1998,"6' 0""",190,R,L
669397,Nicholas,Allen,20,10/8/1998,"5' 7""",166,R,R
624413,Peter,Alonso,25,12/7/1994,"6' 3""",245,R,R
514888,Jose,Altuve,27,5/6/1990,"5' 6""",167,R,R
665660,Elvis,Alvarado,37,2/23/1999,"6' 6""",253,R,R
621237,José,Alvarado,46,5/21/1995,"6' 2""",245,L,L
682626,Francisco,Alvarez,4,11/19/2001,"5' 10""",233,R,R
674841,Michael,Alvarez,54,6/13/1999,"6' 3""",215,L,L
670541,Yordan,Alvarez,44,6/27/1997,"6' 4""",237,L,R
691182,Adael,Amador,1,4/11/2003,"5' 11""",209,S,R
665804,Miguel,Amaya,9,3/9/1999,"6' 1""",230,R,R
623454,Andrew,Anderson,38,3/22/1994,"6' 3""",205,R,R
681982,Grant,Anderson,56,6/21/1997,"6' 0""",213,R,R
681252,Jack,Anderson,30,11/23/1999,"6' 3""",197,R,R
807739,Kade,Anderson,13,7/6/2004,"6' 2""",179,L,L
641312,Shaun,Anderson,64,10/29/1994,"6' 6""",228,R,R
681084,Tanner,Andrews,43,11/15/1995,"6' 3""",220,R,R
609280,Miguel,Andujar,41,3/2/1995,"6' 0""",211,R,R
701350,Roman,Anthony,19,5/13/2004,"6' 3""",200,L,R
803011,Samuel,Antonacci,17,2/6/2003,"5' 11""",193,L,R
622088,Tejay,Antone,70,12/5/1993,"6' 4""",230,R,R
666018,Jonathan,Aranda,8,5/23/1998,"6' 0""",215,L,R
606115,Orlando,Arcia,11,8/4/1994,"5' 11""",187,R,R
571448,Nolan,Arenado,28,4/16/1991,"6' 2""",215,R,R
672356,Gabriel,Arias,43,2/27/2000,"6' 1""",217,R,R
542888,Shawn,Armstrong,43,9/11/1990,"6' 2""",225,R,R
668227,Randy,Arozarena,56,2/28/1995,"5' 10""",185,R,R
650333,Luis,Arraez,4,4/9/1997,"5' 10""",186,L,R
681293,Spencer,Arrighetti,45,1/2/2000,"6' 2""",186,R,R
695490,Edwin,Arroyo,2,8/25/2003,"5' 11""",173,S,R
676879,Aaron,Ashby,26,5/24/1998,"6' 0""",194,R,L
677952,Braxton,Ashcraft,35,10/5/1999,"6' 5""",218,L,R
668933,Douglas,Ashcraft,23,2/11/1998,"6' 2""",248,L,R
665871,Javier,Assad,72,7/30/1997,"6' 1""",200,R,R
679883,Luinder,Avila,58,8/21/2001,"6' 3""",195,R,R
640492,José,Azócar,,5/11/1996,"5' 11""",181,R,R
669199,Lake,Bachar,71,6/3/1995,"6' 2""",219,R,R
696147,Samuel,Bachman,40,9/30/1999,"6' 1""",235,R,R
679775,Kyle,Backhus,19,1/31/1998,"6' 4""",185,L,L
664056,Harrison,Bader,9,6/3/1994,"5' 11""",219,R,R
678225,Jihwan,Bae,0,7/26/1999,"5' 11""",185,L,R
595879,Ednel,Báez,28,12/1/1992,"5' 11""",190,R,R
695491,Joshua,Báez,22,6/28/2003,"6' 3""",220,R,R
672275,Patrick,Bailey,16,5/29/1999,"6' 0""",223,S,R
641329,Bryan,Baker,47,12/2/1994,"6' 6""",235,R,R
663609,Luken,Baker,,3/10/1997,"6' 4""",285,R,R
686948,Drake,Baldwin,30,3/28/2001,"6' 0""",225,L,R
694208,Moisés,Ballesteros,13,11/8/2003,"5' 8""",195,L,R
607455,Frank,Banda,43,8/10/1993,"6' 2""",221,L,L
677943,William,Banfield,60,11/18/1999,"6' 0""",215,R,R
621383,Tanner,Banks,58,10/24/1991,"6' 1""",205,R,L
682995,Hunter,Barco,45,12/15/2000,"6' 4""",229,L,L
680718,Addison,Barger,47,11/12/1999,"5' 11""",210,L,R
605130,Scott,Barlow,58,12/18/1992,"6' 3""",210,R,R
656212,Charles,Barnes,,10/1/1995,"6' 2""",190,L,L
686930,Mason,Barnett,63,11/7/2000,"6' 0""",218,R,R
678489,Jorge,Barrosa,1,2/17/2001,"5' 6""",175,S,L
663698,Joseph,Bart,25,12/15/1996,"6' 2""",242,R,R
678545,Osleivis,Basabe,39,9/13/2000,"5' 11""",197,R,R
694212,Samuel,Basallo,29,8/13/2004,"6' 4""",250,L,R
605135,Christopher,Bassitt,40,2/22/1989,"6' 5""",220,R,R
669620,Brady,Basso,66,10/8/1997,"6' 2""",213,R,L
703520,Brett,Bateman,21,3/19/2002,"5' 10""",170,L,L
683146,Brett,Baty,7,11/13/1999,"6' 3""",210,L,R
641343,Jakob,Bauers,9,10/6/1995,"6' 0""",216,L,L
691945,Carter,Baumler,45,1/31/2002,"6' 2""",195,R,R
669358,Shane,Baz,34,6/17/1999,"6' 3""",200,R,R
660825,Eduard,Bazardo,83,9/1/1995,"6' 0""",190,R,R
683953,Travis,Bazzana,37,8/28/2002,"5' 11""",199,L,R
687637,Dylan,Beavers,12,8/11/2001,"6' 5""",220,L,R
694341,Brendan,Beck,89,10/6/1998,"6' 2""",218,R,R
687597,Jordan,Beck,27,4/19/2001,"6' 2""",227,R,R
663941,Tristan,Beck,43,6/24/1996,"6' 4""",200,R,R
670280,David,Bednar,53,10/10/1994,"6' 1""",250,L,R
656222,Jalen,Beeks,68,7/10/1993,"5' 11""",215,L,L
690925,Clayton,Beeter,39,10/9/1998,"6' 2""",220,R,R
605137,Joshua,Bell,56,8/14/1992,"6' 3""",261,S,R
641355,Cody,Bellinger,35,7/13/1995,"6' 3""",204,L,L
678394,Brayan,Bello,66,5/17/1999,"6' 1""",195,R,R
678368,Valente,Bellozo,56,1/4/2000,"5' 10""",221,R,R
669622,Anthony,Bender,37,2/3/1995,"6' 4""",205,R,R
701807,Carson,Benge,3,1/20/2003,"6' 1""",184,L,R
643217,Andrew,Benintendi,23,7/6/1994,"5' 9""",185,L,L
687562,William,Bennett,64,12/2/2000,"6' 6""",234,L,L
666181,William,Benson,30,6/16/1998,"6' 4""",230,L,L
682674,Victor,Bericoto,78,12/3/2001,"6' 1""",210,R,R
657514,Brennan,Bernardino,83,1/15/1992,"6' 4""",216,L,L
672642,Steward,Berroa,39,6/5/1999,"5' 9""",193,S,R
605141,Markus,Betts,50,10/7/1992,"5' 9""",180,R,R
676440,Tanner,Bibee,28,3/5/1999,"6' 2""",205,R,R
666182,Bo,Bichette,19,3/5/1998,"5' 11""",190,R,R
674370,Osvaldo,Bido,46,10/18/1995,"6' 3""",175,R,R
684049,Brandan,Bidois,,6/21/2001,"6' 2""",174,R,R
669456,Shane,Bieber,57,5/31/1995,"6' 3""",200,R,R
685801,Hunter,Bigge,43,6/12/1998,"6' 0""",215,R,R
656234,Jacob,Bird,59,12/4/1995,"6' 3""",215,R,R
702352,Spencer,Bivens,76,6/28/1994,"6' 4""",220,R,R
621389,Tyson,Blach,,10/20/1990,"6' 1""",215,R,L
696131,Mason,Black,47,12/10/1999,"6' 3""",228,R,R
672012,Tyler,Black,7,7/26/2000,"6' 0""",208,L,R
621112,Paul,Blackburn,58,12/4/1993,"6' 1""",196,R,R
669854,Ronel,Blanco,56,8/31/1993,"6' 3""",265,R,R
668709,Jeffrey,Bleday,22,11/10/1997,"6' 2""",205,L,L
656240,Scott,Blewett,49,4/10/1996,"6' 6""",245,R,R
669208,Ryan,Bliss,1,12/13/1999,"5' 7""",165,R,R
805123,Alan,Blubaugh,69,7/4/2000,"6' 2""",190,R,R
593428,Xander,Bogaerts,2,10/1/1992,"6' 2""",218,R,R
664761,Alec,Bohm,28,8/3/1996,"6' 4""",218,R,R
703607,Henry,Bolte,33,8/4/2003,"6' 3""",195,R,R
675989,Carl,Bolton,67,6/19/1998,"6' 2""",210,R,R
592155,Cameron,Booser,62,5/4/1992,"6' 3""",230,L,L
621366,Ryan,Borucki,,3/31/1994,"6' 4""",210,L,L
641386,Benjamin,Bowden,62,10/21/1994,"6' 4""",249,L,L
687749,Jase,Bowen,4,9/2/2000,"6' 0""",215,R,R
680742,Jonathan,Bowlan,52,12/1/1996,"6' 6""",240,R,R
571510,Matthew,Boyd,16,2/2/1991,"6' 3""",223,L,L
671212,Joseph,Boyle,36,8/14/1999,"6' 8""",250,R,R
674003,Cody,Bradford,61,2/22/1998,"6' 4""",197,L,L
680694,Kyle,Bradish,38,9/12/1996,"6' 3""",215,R,R
671737,Taj,Bradley,26,3/20/2001,"6' 2""",220,R,R
687394,Jack,Brannigan,76,3/11/2001,"6' 0""",201,R,R
666374,Matthew,Brash,47,5/12/1998,"6' 1""",173,R,R
683352,Mitchell,Bratt,60,7/3/2003,"6' 1""",215,L,L
623211,Huascar,Brazobán,50,10/15/1989,"6' 3""",155,R,R
605154,John,Brebbia,,5/30/1990,"6' 1""",219,L,R
608324,Alexander,Bregman,3,3/30/1994,"5' 10""",190,R,R
686823,William,Brennan,7,2/2/1998,"5' 11""",205,L,L
681146,Jonah,Bride,37,12/27/1995,"5' 11""",200,R,R
689225,Beau,Brieske,4,4/4/1998,"6' 3""",200,R,R
666745,Jhony,Brito,76,2/17/1998,"6' 2""",210,R,R
682877,Juan,Brito,,9/24/2001,"6' 0""",202,S,R
641401,Connor,Brogdon,75,1/29/1995,"6' 6""",205,R,R
605156,Aaron,Brooks,62,4/27/1990,"6' 4""",230,R,R
676962,Benjamin,Brown,32,9/9/1999,"6' 6""",210,R,R
686613,Hunter,Brown,58,8/29/1998,"6' 2""",220,R,R
664141,Jonathan,Brubaker,34,11/17/1993,"6' 4""",197,R,R
677865,Justin,Bruihl,47,6/26/1997,"6' 2""",215,L,L
660644,Vidal,Bruján,2,2/9/1998,"5' 9""",180,S,R
694350,Zachary,Brzykcy,62,7/12/1999,"6' 2""",208,R,R
663460,Kristofer,Bubic,,8/19/1997,"6' 3""",220,L,L
621111,Walker,Buehler,10,7/28/1994,"6' 2""",185,R,R
607481,Aaron,Bummer,36,9/21/1993,"6' 3""",215,L,L
669394,Jacob,Burger,21,4/10/1996,"6' 0""",230,R,R
686228,Juan,Burgos,52,12/22/1999,"6' 0""",190,R,R
670103,Raymond,Burgos,79,11/29/1998,"6' 5""",209,L,L
656271,Brock,Burke,49,8/4/1996,"6' 4""",210,L,L
680732,Sean,Burke,59,12/18/1999,"6' 6""",240,R,R
676475,Alec,Burleson,41,11/25/1998,"6' 0""",225,L,L
695505,Chase,Burns,26,1/16/2003,"6' 3""",210,R,R
681347,Michael,Burrows,50,11/8/1999,"6' 1""",200,R,R
683737,Michael,Busch,29,11/9/1997,"5' 11""",210,L,R
671732,Lawrence,Butler,4,7/10/2000,"6' 3""",210,L,R
676130,José,Buttó,70,3/19/1998,"6' 0""",208,R,R
621439,Byron,Buxton,25,12/18/1993,"6' 1""",190,R,R
676609,José,Caballero,72,8/30/1996,"5' 9""",190,R,R
665795,Edward,Cabrera,30,4/13/1998,"6' 5""",217,R,R
703615,Jose,Cabrera,53,5/30/2002,"6' 3""",235,R,R
665828,Oswaldo,Cabrera,95,3/1/1999,"6' 0""",200,S,R
695506,Jeffrey,Caglianone,14,2/9/2003,"6' 4""",250,L,L
683357,Owen,Caissie,17,7/8/2002,"6' 4""",190,L,R
669743,Alex,Call,12,9/27/1994,"5' 11""",189,R,R
814430,Brett,Callahan,34,11/2/2001,"6' 0""",195,L,R
682997,Tyler,Callihan,37,6/22/2000,"5' 11""",205,L,R
665856,Jair,Camargo,78,7/1/1999,"5' 10""",230,R,R
663662,Dazmon,Cameron,23,1/15/1997,"6' 0""",185,R,R
702070,Noah,Cameron,65,7/17/1999,"6' 3""",220,L,L
691406,Junior,Caminero,13,7/5/2003,"6' 1""",220,R,R
672569,Gustavo,Campero,51,9/20/1997,"5' 6""",183,S,R
669134,Luis,Campusano,12,9/29/1998,"5' 10""",232,R,R
600869,Jeimer,Candelario,46,11/24/1993,"6' 1""",222,S,R
656288,Griffin,Canning,17,5/11/1996,"6' 2""",180,R,R
686563,Jonathan,Cannon,48,7/19/2000,"6' 6""",225,R,R
666974,Yennier,Cano,78,3/9/1994,"6' 4""",245,R,R
676282,Joseph,Cantillo,54,12/18/1999,"6' 4""",225,L,L
686527,Dominic,Canzone,8,8/16/1997,"6' 0""",190,L,R
