gamePk,link,gameType,season,gameDate,gameMonth,gameDay,doubleHeader,gameStatus,homeTeamId,awayTeamId,homeScoreFinal,awayScoreFinal
823244,/api/v1.1/game/823244/feed/live,R,2026,05:00.0,3,25,N,Final,137,147,0,7
823649,/api/v1.1/game/823649/feed/live,R,2026,15:00.0,3,26,N,Final,121,134,11,7
823812,/api/v1.1/game/823812/feed/live,R,2026,10:00.0,3,26,N,Final,158,145,14,2
824704,/api/v1.1/game/824704/feed/live,R,2026,20:00.0,3,26,N,Final,112,120,4,10
824865,/api/v1.1/game/824865/feed/live,R,2026,05:00.0,3,26,N,Final,110,142,2,1
824541,/api/v1.1/game/824541/feed/live,R,2026,10:00.0,3,26,N,Final,113,111,0,3
824218,/api/v1.1/game/824218/feed/live,R,2026,10:00.0,3,26,N,Final,117,108,0,3
823325,/api/v1.1/game/823325/feed/live,R,2026,10:00.0,3,26,N,Final,135,116,2,8
823081,/api/v1.1/game/823081/feed/live,R,2026,15:00.0,3,26,N,Final,138,139,9,7
823486,/api/v1.1/game/823486/feed/live,R,2026,15:00.0,3,26,N,Final,143,140,5,3
823974,/api/v1.1/game/823974/feed/live,R,2026,30:00.0,3,26,N,Final,119,109,8,2
823163,/api/v1.1/game/823163/feed/live,R,2026,10:00.0,3,26,N,Final,136,114,4,6
823243,/api/v1.1/game/823243/feed/live,R,2026,35:00.0,3,27,N,Final,137,147,0,3
822839,/api/v1.1/game/822839/feed/live,R,2026,07:00.0,3,27,N,Final,141,133,3,2
823893,/api/v1.1/game/823893/feed/live,R,2026,10:00.0,3,27,N,Final,146,115,2,1
824946,/api/v1.1/game/824946/feed/live,R,2026,15:00.0,3,27,N,Final,144,118,6,0
824216,/api/v1.1/game/824216/feed/live,R,2026,15:00.0,3,27,N,Final,117,108,2,6
823324,/api/v1.1/game/823324/feed/live,R,2026,40:00.0,3,27,N,Final,135,116,2,5
823162,/api/v1.1/game/823162/feed/live,R,2026,45:00.0,3,27,N,Final,136,114,5,1
823971,/api/v1.1/game/823971/feed/live,R,2026,10:00.0,3,27,N,Final,119,109,5,4
